"date","close","volume","open","high","low"
"2016/05/10","209.5200","2889178.0000","207.7900","209.5400","207.7200"
"2016/05/09","207.0100","2813219.0000","206.6300","207.4300","206.4300"
"2016/05/06","206.8100","2383659.0000","205.1300","206.8100","204.9400"
"2016/05/05","206.0100","2157999.0000","206.5900","207.0100","205.5100"
"2016/05/04","206.0700","2467967.0000","206.0500","206.8900","205.4800"
"2016/05/03","207.2500","3405638.0000","207.5500","207.8571","206.3599"
"2016/05/02","209.0800","3476948.0000","208.0100","209.2600","207.4800"
"2016/04/29","207.4600","4362330.0000","207.8100","208.1900","206.1000"
"2016/04/28","208.5800","4407787.0000","209.5500","210.8500","208.0300"
"2016/04/27","210.4000","2817110.0000","209.5100","210.9000","209.1400"
"2016/04/26","210.0100","2227205.0000","210.1300","210.5999","209.4500"
"2016/04/25","209.6600","2766468.0000","209.3700","209.6900","208.6100"
"2016/04/22","210.0300","3286351.0000","209.6400","210.3500","209.0000"
"2016/04/21","210.0600","2968073.0000","211.2100","211.3300","209.7300"
"2016/04/20","211.1100","2457854.0000","211.0300","212.0000","210.4800"
"2016/04/19","210.9500","3400235.0000","210.8100","211.2799","210.0200"
"2016/04/18","210.3100","3474005.0000","208.2000","210.3500","208.0700"
"2016/04/15","208.7900","2828450.0000","209.1200","209.1700","208.4776"
"2016/04/14","209.1200","2510655.0000","209.1400","209.6600","208.6800"
"2016/04/13","209.1000","3195709.0000","208.0500","209.1600","207.9100"
"2016/04/12","207.0200","2453303.0000","205.2700","207.3200","204.7500"
"2016/04/11","205.0000","2742963.0000","206.3000","207.1100","204.9500"
"2016/04/08","205.5800","2432437.0000","206.3800","206.8800","204.9200"
"2016/04/07","204.9700","7174645.0000","206.2200","206.5900","204.1300"
"2016/04/06","207.4800","2896998.0000","205.3400","207.5400","205.0200"
"2016/04/05","205.2600","3062673.0000","205.7500","206.2700","204.9300"
"2016/04/04","207.2900","3050796.0000","207.9200","208.1250","206.9500"
"2016/04/01","207.9700","4127493.0000","205.4100","208.2000","205.0500"
"2016/03/31","206.6500","4603237.0000","206.9600","207.4500","206.3800"
"2016/03/30","207.1300","2760755.0000","207.3300","207.9100","206.6500"
"2016/03/29","206.2600","3918948.0000","203.8100","206.2600","203.4300"
"2016/03/28","204.3100","2277149.0000","204.6700","204.8800","203.7500"
"2016/03/24","204.1800","3317121.0000","203.0500","204.2000","202.7700"
"2016/03/23","204.3000","2980785.0000","205.1300","205.3600","204.0500"
"2016/03/22","206.7500","4602590.0000","205.9200","207.4000","205.7300"
"2016/03/21","206.8700","4763421.0000","206.2500","207.1100","205.9600"
"2016/03/18","206.5700","6272981.0000","206.3800","206.9400","205.9600"
"2016/03/17","205.8100","5149998.0000","204.3500","206.3300","203.8600"
"2016/03/16","204.5200","3510343.0000","202.6400","204.9000","202.5900"
"2016/03/15","203.2200","4213249.0000","202.4400","203.2800","202.1200"
"2016/03/14","203.5600","4579187.0000","203.2500","204.1300","202.8500"
"2016/03/11","203.8400","2675540.0000","202.3200","203.8800","202.2000"
"2016/03/10","200.5200","3363115.0000","201.0000","202.1100","198.4600"
"2016/03/09","200.4100","3236895.0000","200.3900","200.8000","199.4501"
"2016/03/08","199.3800","3310932.0000","200.3650","200.9600","199.2500"
"2016/03/07","201.6800","3868462.0000","200.4100","202.1200","200.2900"
"2016/03/04","201.4800","3465651.0000","201.0800","202.4000","200.1000"
"2016/03/03","200.7800","3086604.0000","199.7900","200.8300","199.1400"
"2016/03/02","200.0700","4428018.0000","198.7200","200.0900","198.2800"
"2016/03/01","199.1900","5127146.0000","196.0200","199.2100","195.4700"
"2016/02/29","194.5100","5022357.0000","196.1400","197.2460","194.4200"
"2016/02/26","196.1500","4392586.0000","197.5800","197.6800","195.8901"
"2016/02/25","196.5000","2725027.0000","194.7100","196.5600","193.8200"
"2016/02/24","194.2200","2963970.0000","191.5900","194.5000","190.2700"
"2016/02/23","193.3400","2725477.0000","195.0200","195.2800","193.1600"
"2016/02/22","195.7200","2514408.0000","194.8500","195.9300","194.7900"
"2016/02/19","192.9300","2521624.0000","192.1300","193.1400","191.4200"
"2016/02/18","193.0500","3708975.0000","194.2000","194.2499","192.6900"
"2016/02/17","193.8300","3891403.0000","192.1200","194.2800","191.9700"
"2016/02/16","190.6700","3439821.0000","189.7600","190.7360","188.5600"
"2016/02/12","187.5500","3273447.0000","185.8400","187.5800","184.8700"
"2016/02/11","183.8300","5838765.0000","183.1800","184.9600","182.0200"
"2016/02/10","186.1500","3832489.0000","187.3000","189.2360","186.0400"
"2016/02/09","186.2400","5579391.0000","184.2100","187.8700","184.1100"
"2016/02/08","186.3100","8096730.0000","186.6800","187.0015","183.7200"
"2016/02/05","188.8500","5561187.0000","191.9600","192.0200","188.1400"
"2016/02/04","192.5300","4501120.0000","191.7100","193.6900","190.9300"
"2016/02/03","192.1100","7296525.0000","192.3900","192.7200","188.0453"
"2016/02/02","191.0900","7103914.0000","192.9400","192.9400","190.4750"
"2016/02/01","194.6000","6205910.0000","193.4700","195.5301","192.7950"
"2016/01/29","194.6200","7807161.0000","190.9400","194.6900","190.8200"
"2016/01/28","190.1100","5355235.0000","190.9000","191.1000","188.0800"
"2016/01/27","189.0800","5651429.0000","190.6100","192.5000","187.9800"
"2016/01/26","191.1300","4640405.0000","189.3600","191.4400","188.9400"
"2016/01/25","188.5700","4075494.0000","190.8600","191.0800","188.3400"
"2016/01/22","191.4900","4370066.0000","190.7100","191.6700","189.8200"
"2016/01/21","187.6200","8803799.0000","187.1100","189.7900","185.5800"
"2016/01/20","186.6500","10176310.0000","185.9300","188.4100","181.9001"
"2016/01/19","188.8400","7616229.0000","190.8000","191.0100","187.1201"
